STATION,NAME,DATE,AWND,PGTM,PRCP,PSUN,SNOW,SNWD,TSUN,WDF5,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT22
USW00014755,"MOUNT WASHINGTON, NH US",2/13/2018,46.75,,0,99,0,9.8,627,290,81,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/14/2018,54.8,,0,38,0,9.8,243,280,85,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/15/2018,56.59,,0,27,0,9.1,171,270,96,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/16/2018,58.38,,0.49,0,3.8,9.8,0,310,91.9,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/17/2018,42.95,,0.11,80,1.3,11,519,310,95.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/18/2018,47.42,,0.51,0,5.2,11.8,0,280,86.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/19/2018,44.52,,0.05,40,0,11.8,261,270,89,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/20/2018,53.02,,1.48,0,0,9.8,0,260,89,1,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/21/2018,68.67,,0.08,19,0,9.8,125,260,104,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/22/2018,39.37,,0,1,0,0,5,290,82.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/23/2018,36.91,,0.3,26,0.5,0,175,260,87.9,1,,,1,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/24/2018,59.73,,0,0,0,1.2,0,290,110.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/25/2018,33.33,,0.56,0,5,1.2,0,270,70,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/26/2018,53.02,,0,4,0,3.1,25,290,84.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/27/2018,50.33,,0,79,0,3.1,535,300,81,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",2/28/2018,38.7,,0,15,0,3.1,105,280,80.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/1/2018,22.37,,0.07,45,0.6,3.1,310,290,55,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/2/2018,55.03,,0.78,0,6.1,3.1,0,70,98,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/3/2018,43.62,,0,33,0,5.1,225,50,77,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/4/2018,19.69,,0.09,34,1.4,5.1,238,10,36.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/5/2018,25.5,,0.01,58,0.6,5.9,404,50,46.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/6/2018,15.66,,0,97,0,5.1,675,60,30,1,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/7/2018,33.78,,0.36,4,3.8,5.1,25,60,74.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/8/2018,32.88,,0.63,0,8.1,7.9,0,70,66,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/9/2018,21.92,,0.17,8,2.4,11,55,290,74,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/10/2018,59.95,,0.76,0,9.1,9.8,0,300,93.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/11/2018,37.13,,0.17,0,3.5,9.8,0,290,82.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/12/2018,18.12,,0.02,45,0.5,11,323,80,55.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/13/2018,43.62,,0.87,0,9.4,11,0,60,66,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/14/2018,28.19,,0.9,0,10.6,16.1,0,290,61.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/15/2018,65.09,,0.75,0,7.3,20.9,0,280,98,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/16/2018,65.99,,0.18,0,1.8,22.8,0,290,111,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/17/2018,63.31,,0.03,31,0.5,20.1,224,290,121.9,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/18/2018,54.13,,0,100,0,18.1,734,300,89.9,1,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/19/2018,63.98,,0,59,0,18.1,432,320,94,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/20/2018,32.21,,0,100,0,16.9,740,310,69.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/21/2018,27.51,,0,8,0,16.9,60,50,52.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/22/2018,38.92,,0,7,0,16.9,53,50,64,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/23/2018,23.04,,0,65,0.1,16.9,485,330,61.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/24/2018,17,,0.02,7,1.1,16.1,50,50,40,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/25/2018,29.08,,0.04,24,0.5,16.9,184,50,44.1,1,,,,,1,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/26/2018,12.97,,0,100,0,16.9,758,70,35.1,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/27/2018,23.94,,0,79,0,16.9,600,170,47,,,,,,,,,,,,,,,,
USW00014755,"MOUNT WASHINGTON, NH US",3/28/2018,26.62,,0.14,48,1.2,16.1,370,240,53,1,,,1,,1,,,,,,,,,,
