Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
5-Jan-18,08,926.00,"1,527.21",232.87,247.43,-2.19,-12.37,407.28,432.16,-5.83,-19.05,14,5
5-Jan-18,09,959.10,"1,583.89",215.24,229.10,-1.94,-11.92,279.87,322.64,-30.37,-12.40,13,3
5-Jan-18,10,948.60,"1,612.17",234.01,248.26,-2.19,-12.06,259.41,276.10,-6.69,-10.00,12,2
5-Jan-18,11,945.60,"1,635.76",233.60,248.61,-2.18,-12.83,248.25,296.97,-37.82,-10.90,12,1
5-Jan-18,12,868.60,"1,651.43",221.51,236.69,-2.00,-13.18,308.02,362.07,-41.57,-12.48,11,1
5-Jan-18,13,869.80,"1,665.32",227.26,242.65,-2.07,-13.32,284.21,334.72,-39.23,-11.28,11,1
5-Jan-18,14,907.60,"1,666.80",198.31,211.49,-1.66,-11.52,264.56,297.87,-24.40,-8.91,10,0
5-Jan-18,15,897.00,"1,661.21",193.60,206.21,-1.60,-11.01,364.89,382.97,-5.48,-12.60,9,2
5-Jan-18,16,900.80,"1,665.81",209.41,223.55,-1.82,-12.32,273.38,287.52,-4.05,-10.09,8,0
5-Jan-18,17,"1,016.90","1,744.06",240.18,253.73,-2.26,-11.29,304.66,321.19,-4.89,-11.64,7,-5
5-Jan-18,18,"1,073.00","1,798.52",289.73,307.06,-2.91,-14.42,371.01,392.51,-5.60,-15.90,6,-7
5-Jan-18,19,"1,069.90","1,768.88",281.99,298.75,-2.80,-13.96,280.22,303.79,-10.80,-12.77,5,-8
5-Jan-18,20,"1,008.20","1,701.35",251.07,266.39,-2.36,-12.96,251.76,267.03,-3.80,-11.47,4,-9
5-Jan-18,21,931.00,"1,658.32",233.80,248.66,-2.13,-12.73,315.53,346.03,-14.89,-15.61,4,-10
5-Jan-18,22,810.20,"1,571.85",209.29,224.14,-1.93,-12.92,294.81,321.00,-12.09,-14.10,3,-11
5-Jan-18,23,742.00,"1,476.60",188.22,202.30,-1.69,-12.39,317.40,355.39,-23.22,-14.77,2,-13
5-Jan-18,24,685.80,"1,424.69",181.41,192.53,-1.61,-9.51,283.05,338.16,-37.90,-17.21,1,-14
6-Jan-18,01,800.30,"1,371.95",170.77,181.76,-1.70,-9.29,261.44,296.52,-19.12,-15.96,0,-14
6-Jan-18,02,751.00,"1,349.55",156.93,167.35,-1.50,-8.92,231.91,251.34,-4.43,-15.00,0,-14
6-Jan-18,03,741.50,"1,341.41",154.23,164.53,-1.46,-8.84,248.51,269.46,-3.64,-17.31,-1,-14
6-Jan-18,04,761.40,"1,341.28",157.30,167.46,-1.50,-8.66,222.73,250.41,-10.76,-16.92,-1,-15
6-Jan-18,05,780.60,"1,364.42",161.19,172.29,-1.56,-9.54,148.28,240.97,-76.28,-16.41,-1,-15
6-Jan-18,06,839.10,"1,412.12",173.79,185.44,-1.74,-9.91,180.17,230.88,-35.56,-15.15,-2,-14
6-Jan-18,07,"1,015.80","1,493.84",212.83,225.78,-2.10,-10.85,167.43,201.55,-21.36,-12.76,-2,-15
6-Jan-18,08,"1,121.30","1,576.33",199.20,208.59,-1.90,-7.49,256.98,277.96,-4.73,-16.25,-2,-14
6-Jan-18,09,"1,206.10","1,662.57",250.00,262.32,-2.59,-9.73,272.50,292.96,-4.48,-15.98,-2,-15
6-Jan-18,10,"1,163.60","1,706.18",262.68,276.70,-2.76,-11.26,262.07,282.27,-4.37,-15.83,-2,-15
6-Jan-18,11,"1,207.70","1,730.04",247.30,260.64,-2.58,-10.76,195.98,212.31,-3.27,-13.06,0,-15
6-Jan-18,12,"1,155.30","1,744.39",220.05,232.39,-2.19,-10.15,264.15,287.11,-4.71,-18.25,2,-14
6-Jan-18,13,"1,135.40","1,723.93",202.51,213.96,-1.94,-9.51,304.50,328.42,-5.20,-18.72,1,-11
6-Jan-18,14,"1,119.00","1,719.01",196.74,208.29,-1.85,-9.70,215.62,233.49,-3.41,-14.46,1,-9
6-Jan-18,15,"1,106.90","1,716.68",192.20,204.03,-1.79,-10.04,158.14,171.94,-3.65,-10.15,2,-11
6-Jan-18,16,"1,130.80","1,728.84",193.77,205.66,-1.81,-10.08,226.05,247.60,-7.24,-14.31,4,-9
